company_name,detail
Pramodini Medicare Ltd.,NSE_SME name-matched 'Pramodini Medicare Limited' (symbol PRAMODINI) but dates disagree: db=None vs nse_sme='19-Aug-26'
Anawil Wire & Engineering Ltd.,NSE_SME name-matched 'Anawil Wire and Engineering Limited' (symbol ANAWIL) but dates disagree: db=None vs nse_sme='10-Aug-26'
Shyam Dhani Industries Limited,NSE_SME name-matched 'Shyam Dhani Industries Limited' (symbol SHYAMDHANI) but dates disagree: db='2025-12-15' vs nse_sme='30-Dec-25'
Ashwini Container Movers Limited,NSE_SME name-matched 'Ashwini Container Movers Limited' (symbol ASHWINI) but dates disagree: db='2025-12-15' vs nse_sme='19-Dec-25'
Gurunanak Agriculture India Limited,NSE_SME name-matched 'Gurunanak Agriculture India Limited' (symbol GURUNANAK) but dates disagree: db='2025-10-15' vs nse_sme='01-Oct-25'
Prime Cable Industries Limited,NSE_SME name-matched 'Prime Cable Industries Limited' (symbol PRIMECAB) but dates disagree: db='2025-09-15' vs nse_sme='29-Sep-25'
Optivalue Tek Consulting Limited,NSE_SME name-matched 'Optivalue Tek Consulting Limited' (symbol OPTIVALUE) but dates disagree: db='2025-09-15' vs nse_sme='10-Sep-25'
Sattva Engineering Construction Limited,NSE_SME name-matched 'Sattva Engineering Construction Limited' (symbol SATTVAENGG) but dates disagree: db='2025-09-15' vs nse_sme='03-Sep-25'
Classic Electrodes (India) Limited,NSE_SME name-matched 'Classic Electrodes (India) Limited' (symbol CLASSICEIL) but dates disagree: db='2025-09-15' vs nse_sme='01-Sep-25'
Cash Ur Drive Marketing Limited,NSE_SME name-matched 'Cash Ur Drive Marketing Limited' (symbol CUDML) but dates disagree: db='2025-08-15' vs nse_sme='07-Aug-25'
Moving Media Entertainment Limited,NSE_SME name-matched 'Moving Media Entertainment Limited' (symbol MMEL) but dates disagree: db='2025-07-15' vs nse_sme='03-Jul-25'
Suntech Infra Solutions Limited,NSE_SME name-matched 'Suntech Infra Solutions Limited' (symbol SUNTECH) but dates disagree: db='2025-07-15' vs nse_sme='02-Jul-25'
Aakaar Medical Technologies Limited,NSE_SME name-matched 'Aakaar Medical Technologies Limited' (symbol AAKAAR) but dates disagree: db='2025-06-15' vs nse_sme='27-Jun-25'
Neptune Petrochemicals Limited,NSE_SME name-matched 'Neptune Petrochemicals Limited' (symbol NEPTUNE) but dates disagree: db='2025-06-15' vs nse_sme='04-Jun-25'
Accretion Pharmaceuticals Limited,NSE_SME name-matched 'Accretion Pharmaceuticals Limited' (symbol ACCPL) but dates disagree: db='2025-05-15' vs nse_sme='21-May-25'
Integrity Infrabuild Developers Limited,NSE_SME name-matched 'Integrity Infrabuild Developers Limited' (symbol INTEGRITY) but dates disagree: db='2025-05-15' vs nse_sme='20-May-25'
Virtual Galaxy Infotech Limited,NSE_SME name-matched 'Virtual Galaxy Infotech Limited' (symbol VGINFOTECH) but dates disagree: db='2025-05-15' vs nse_sme='19-May-25'
Iware Supplychain Services Limited,NSE_SME name-matched 'Iware Supplychain Services Limited' (symbol IWARE) but dates disagree: db='2025-05-15' vs nse_sme='06-May-25'
Active Infrastructures Limited,NSE_SME name-matched 'Active Infrastructures Limited' (symbol ACTIVEINFR) but dates disagree: db='2025-03-15' vs nse_sme='28-Mar-25'
Grand Continent Hotels Limited,NSE_SME name-matched 'Grand Continent Hotels Limited' (symbol GCHOTELS) but dates disagree: db='2025-03-15' vs nse_sme='27-Mar-25'
PS Raj Steels Limited,NSE_SME name-matched 'P S Raj Steels Limited' (symbol PSRAJ) but dates disagree: db='2025-02-15' vs nse_sme='19-Feb-25'
Identical Brains Studios Limited,NSE_SME name-matched 'Identical Brains Studios Limited' (symbol IDENTICAL) but dates disagree: db='2024-12-15' vs nse_sme='26-Dec-24'
Agarwal Toughened Glass India Limited,NSE_SME name-matched 'Agarwal Toughened Glass India Limited' (symbol AGARWALTUF) but dates disagree: db='2024-12-15' vs nse_sme='05-Dec-24'
Abha Power and Steel Limited,NSE_SME name-matched 'Abha Power and Steel Limited' (symbol ABHAPOWER) but dates disagree: db='2024-12-15' vs nse_sme='04-Dec-24'
Usha Financial Services Limited,NSE_SME name-matched 'Usha Financial Services Limited' (symbol USHAFIN) but dates disagree: db='2024-10-15' vs nse_sme='31-Oct-24'
Forge Auto International Limited,NSE_SME name-matched 'Forge Auto International Limited' (symbol FORGEAUTO) but dates disagree: db='2024-10-15' vs nse_sme='04-Oct-24'
Divyadhan Recycling Industries Limited,NSE_SME name-matched 'Divyadhan Recycling Industries Limited' (symbol DIVYADHAN) but dates disagree: db='2024-10-15' vs nse_sme='04-Oct-24'
TechEra Engineering LImited,NSE_SME name-matched 'TechEra Engineering (India) Limited' (symbol TECHERA) but dates disagree: db='2024-10-15' vs nse_sme='03-Oct-24'
Unilex Colours and Chemicals Limited,NSE_SME name-matched 'Unilex Colours and Chemicals Limited' (symbol UNILEX) but dates disagree: db='2024-10-15' vs nse_sme='03-Oct-24'
Thinking Hats Entertainment Solutions Limited,NSE_SME name-matched 'Thinking Hats Entertainment Solutions Limited' (symbol THESL) but dates disagree: db='2024-10-15' vs nse_sme='03-Oct-24'
SD Retail Limited,NSE_SME name-matched 'S D Retail Limited' (symbol SDREAMS) but dates disagree: db='2024-09-15' vs nse_sme='27-Sep-24'
BikeWo GreenTech Limited,NSE_SME name-matched 'Bikewo Green Tech Limited' (symbol BIKEWO) but dates disagree: db='2024-09-15' vs nse_sme='27-Sep-24'
Paramount Speciality Forgings Limited,NSE_SME name-matched 'Paramount Speciality Forgings Limited' (symbol PSFL) but dates disagree: db='2024-09-15' vs nse_sme='25-Sep-24'
Deccan Transcon Leasing Limited,NSE_SME name-matched 'Deccan Transcon Leasing Limited' (symbol DECCANTRAN) but dates disagree: db='2024-09-15' vs nse_sme='24-Sep-24'
Excellent Wires and Packaging Limited,NSE_SME name-matched 'Excellent Wires and Packaging Limited' (symbol EXCELLENT) but dates disagree: db='2024-09-15' vs nse_sme='19-Sep-24'
Namo eWaste Management Limited,NSE_SME name-matched 'Namo eWaste Management Limited' (symbol NAMOEWASTE) but dates disagree: db='2024-09-15' vs nse_sme='11-Sep-24'
Boss Packaging Solutions Limited,NSE_SME name-matched 'Boss Packaging Solutions Limited' (symbol BOSS) but dates disagree: db='2024-09-15' vs nse_sme='06-Sep-24'
Paramatrix Technologies Limited,NSE_SME name-matched 'Paramatrix Technologies Limited' (symbol PARAMATRIX) but dates disagree: db='2024-09-15' vs nse_sme='04-Sep-24'
Ideal Technoplast Industries,NSE_SME name-matched 'Ideal Technoplast Industries Limited' (symbol IDEALTECHO) but dates disagree: db='2024-08-15' vs nse_sme='28-Aug-24'
Solve Plastic Products,NSE_SME name-matched 'Solve Plastic Products Limited' (symbol BALCO) but dates disagree: db='2024-08-15' vs nse_sme='21-Aug-24'
Sunlite Recycling Industries Limited,NSE_SME name-matched 'Sunlite Recycling Industries Limited' (symbol SUNLITE) but dates disagree: db='2024-08-15' vs nse_sme='20-Aug-24'
Picture Post Studios Limited,NSE_SME name-matched 'Picturepost Studios Limited' (symbol PPSL) but dates disagree: db='2024-08-15' vs nse_sme='09-Aug-24'
Sathlokhar Synergys E&C Global Limited,NSE_SME name-matched 'Sathlokhar Synergys E&C Global Limited' (symbol SSEGL) but dates disagree: db='2024-08-15' vs nse_sme='06-Aug-24'
SA Tech Software India Limited,NSE_SME name-matched 'S A Tech Software India Limited' (symbol SATECH) but dates disagree: db='2024-08-15' vs nse_sme='02-Aug-24'
Manglam Infra and Engineering Limited,NSE_SME name-matched 'Manglam Infra & Engineering Limited' (symbol MIEL) but dates disagree: db='2024-07-15' vs nse_sme='31-Jul-24'
SAR Televenture Limited (FPO),NSE_SME name-matched 'Sar Televenture Limited' (symbol SARTELE) but dates disagree: db='2024-07-15' vs nse_sme='08-Nov-23'
Nephro Care India Limited,NSE_SME name-matched 'Nephro Care India Limited' (symbol NEPHROCARE) but dates disagree: db='2024-07-15' vs nse_sme='05-Jul-24'
Diensten Tech Limited,NSE_SME name-matched 'Diensten Tech Limited' (symbol DTL) but dates disagree: db='2024-07-15' vs nse_sme='03-Jul-24'
Petro Carbon and Chemicals Limited,NSE_SME name-matched 'Petro Carbon and Chemicals Limited' (symbol PCCL) but dates disagree: db='2024-07-15' vs nse_sme='02-Jul-24'
Visaman Global Sales Limited,NSE_SME name-matched 'Visaman Global Sales Limited' (symbol VISAMAN) but dates disagree: db='2024-07-15' vs nse_sme='01-Jul-24'
Shivalic Power Control Limited,NSE_SME name-matched 'Shivalic Power Control Limited' (symbol SPCL) but dates disagree: db='2024-07-15' vs nse_sme='01-Jul-24'
Mason Infratech Limited,NSE_SME name-matched 'Mason Infratech Limited' (symbol MASON) but dates disagree: db='2024-07-15' vs nse_sme='01-Jul-24'
Sylvan Plyboard (India) Limited,NSE_SME name-matched 'Sylvan Plyboard (India) Limited' (symbol SYLVANPLY) but dates disagree: db='2024-07-15' vs nse_sme='01-Jul-24'
Medicamen Organics Limited,NSE_SME name-matched 'Medicamen Organics Limited' (symbol MEDIORG) but dates disagree: db='2024-06-15' vs nse_sme='28-Jun-24'
Falcon Technoprojects India Limited,NSE_SME name-matched 'Falcon Technoprojects India Limited' (symbol FALCONTECH) but dates disagree: db='2024-06-15' vs nse_sme='26-Jun-24'
Durlax Top Surface Limited,NSE_SME name-matched 'Durlax Top Surface Limited' (symbol DURLAX) but dates disagree: db='2024-06-15' vs nse_sme='26-Jun-24'
TBI Corn Limited,NSE_SME name-matched 'TBI Corn Limited' (symbol TBI) but dates disagree: db='2024-06-15' vs nse_sme='07-Jun-24'
Aimtron Electronics Limited,NSE_SME name-matched 'Aimtron Electronics Limited' (symbol AIMTRON) but dates disagree: db='2024-06-15' vs nse_sme='06-Jun-24'
Beacon Trusteeship Limited,NSE_SME name-matched 'Beacon Trusteeship Limited' (symbol BEACON) but dates disagree: db='2024-06-15' vs nse_sme='04-Jun-24'
Vilas Transcore Limited,NSE_SME name-matched 'Vilas Transcore Limited' (symbol VILAS) but dates disagree: db='2024-06-15' vs nse_sme='03-Jun-24'
GSM Foils Limited,NSE_SME name-matched 'GSM Foils Limited' (symbol GSMFOILS) but dates disagree: db='2024-05-15' vs nse_sme='31-May-24'
Rulka Electricals Limited,NSE_SME name-matched 'Rulka Electricals Limited' (symbol RULKA) but dates disagree: db='2024-05-15' vs nse_sme='24-May-24'
Quest Laboratories Limited,NSE_SME name-matched 'Quest Laboratories Limited' (symbol QUESTLAB) but dates disagree: db='2024-05-15' vs nse_sme='23-May-24'
Indian Emulsifier Limited,NSE_SME name-matched 'Indian Emulsifiers Limited' (symbol IEML) but dates disagree: db='2024-05-15' vs nse_sme='22-May-24'
ABS Marine Services Limited,NSE_SME name-matched 'ABS Marine Services Limited' (symbol ABSMARINE) but dates disagree: db='2024-05-15' vs nse_sme='21-May-24'
Veritaas Advertising Limited,NSE_SME name-matched 'Veritaas Advertising Limited' (symbol VERITAAS) but dates disagree: db='2024-05-15' vs nse_sme='21-May-24'
Mandeep Auto Industries Limited,NSE_SME name-matched 'Mandeep Auto Industries Limited' (symbol MANDEEP) but dates disagree: db='2024-05-15' vs nse_sme='21-May-24'
Slone Infosystems Limited,NSE_SME name-matched 'Slone Infosystems Limited' (symbol SLONE) but dates disagree: db='2024-05-15' vs nse_sme='10-May-24'
Grill Splendour Services Limited,NSE_SME name-matched 'Grill Splendour Services Limited' (symbol BIRDYS) but dates disagree: db='2024-04-15' vs nse_sme='23-Apr-24'
Ramdevbaba Solvent Limited,NSE_SME name-matched 'Ramdevbaba Solvent Limited' (symbol RBS) but dates disagree: db='2024-04-15' vs nse_sme='23-Apr-24'
Creative Graphics Solutions India Limited,NSE_SME name-matched 'Creative Graphics Solutions India Limited' (symbol CGRAPHICS) but dates disagree: db='2024-04-15' vs nse_sme='09-Apr-24'
K2 Infragen Limited,NSE_SME name-matched 'K2 Infragen Limited' (symbol K2INFRA) but dates disagree: db='2024-04-15' vs nse_sme='08-Apr-24'
Yash Optics & Lens Limited,NSE_SME name-matched 'Yash Optics & Lens Limited' (symbol YASHOPTICS) but dates disagree: db='2024-04-15' vs nse_sme='08-Apr-24'
Radiowalla Network Limited,NSE_SME name-matched 'Radiowalla Network Limited' (symbol RADIOWALLA) but dates disagree: db='2024-07-08' vs nse_sme='05-Apr-24'
TAC Infosec Limited,NSE_SME name-matched 'TAC Infosec Limited' (symbol TAC) but dates disagree: db='2024-04-15' vs nse_sme='05-Apr-24'
Trust Fintech Limited,NSE_SME name-matched 'Trust Fintech Limited' (symbol TRUST) but dates disagree: db='2024-04-15' vs nse_sme='04-Apr-24'
Blue Pebble Limited,NSE_SME name-matched 'Blue Pebble Limited' (symbol BLUEPEBBLE) but dates disagree: db='2024-04-15' vs nse_sme='03-Apr-24'
Vishwas Agri Seeds Limited,NSE_SME name-matched 'Vishwas Agri Seeds Limited' (symbol VISHWAS) but dates disagree: db='2024-04-15' vs nse_sme='01-Apr-24'
Omfurn India Limited,NSE_SME name-matched 'Omfurn India Limited' (symbol OMFURN) but dates disagree: db='2024-03-15' vs nse_sme='13-Oct-17'
Enfuse Solutions Limited,NSE_SME name-matched 'Enfuse Solutions Limited' (symbol ENFUSE) but dates disagree: db='2024-03-15' vs nse_sme='22-Mar-24'
Enser Communications Limited,NSE_SME name-matched 'Enser Communications Limited' (symbol ENSER) but dates disagree: db='2024-03-15' vs nse_sme='22-Mar-24'
AVP Infracon Limited,NSE_SME name-matched 'AVP Infracon Limited' (symbol AVPINFRA) but dates disagree: db='2024-03-15' vs nse_sme='20-Mar-24'
Signoria Creation Limited,NSE_SME name-matched 'Signoria Creation Limited' (symbol SIGNORIA) but dates disagree: db='2024-03-15' vs nse_sme='19-Mar-24'
Purv Flexipack Limited,NSE_SME name-matched 'Purv Flexipack Limited' (symbol PURVFLEXI) but dates disagree: db='2024-03-15' vs nse_sme='05-Mar-24'
Owais Metal and Mineral Processing Limited,NSE_SME name-matched 'Owais Metal And Mineral Processing Limited' (symbol OWAIS) but dates disagree: db='2024-03-15' vs nse_sme='04-Mar-24'
