company_name,suggested_source,suggested_name,suggested_code,similarity
Quality Power Electronics Limited,NSE,RIR Power Electronics Limited,RIR,0.83
Quality Power Electronics Limited,BSE_MAIN,RIR POWER ELECTRONICS LIMITED,517035,0.83
Standard Glass Lining Technology Limited,NSE,Standard Engineering Technology Limited,SETL,0.83
Standard Glass Lining Technology Limited,BSE_MAIN,STANDARD ENGINEERING TECHNOLOGY LIMITED,544333,0.83
International Gemmological Institute (India) Limited,NSE,International Gemological Institute Limited,IGIL,0.99
International Gemmological Institute (India) Limited,BSE_MAIN,International Gemological Institute Limited,544311,0.99
Interarch Building Products Limited,NSE,Interarch Building Solutions Limited,INTERARCH,0.84
Interarch Building Products Limited,BSE_MAIN,Interarch Building Solutions Limited,544232,0.84
Bai Kakaji Polymers Limited,BSE_MAIN,BAI-KAKAJI POLYMERS LIMITED,544670,0.95
Bai Kakaji Polymers Limited,BSE_MAIN,Bai-Kakaji Polymers Ltd,544670,0.95
Zelio E-Mobility Limited,BSE_MAIN,Zelio E Mobility Limited,544563,0.94
Zelio E-Mobility Limited,BSE_MAIN,Zelio E Mobility Ltd,544563,0.94
Unified Data - Tech Solutions Limited,BSE_MAIN,UNIFIED DATA TECH SOLUTIONS LIMITED,544406,0.96
Unified Data - Tech Solutions Limited,BSE_MAIN,Unified Data Tech Solutions Ltd,544406,0.96
Ambey Laboratories Limited,BSE_MAIN,Mercury Laboratories Limited,538964,0.84
Ambey Laboratories Limited,BSE_MAIN,Mercury Laboratories Ltd,538964,0.84
Vital Chemtech Limited,NSE,Vital Chemtech Limited,VITAL,1.00
QMS Medical Allied Services Limited,NSE,QMS Medical Allied Services Limited,QMSMEDI,1.00
Insolation Energy Limited,NSE,Insolation Energy Limited,INA,1.00
Insolation Energy Limited,BSE_MAIN,INSOLATION ENERGY LIMITED,543620,1.00
Annapurna Swadisht Limited,NSE,Annapurna Swadisht Limited,ANNAPURNA,1.00
Viviana Power Tech Limited,NSE,Viviana Power Tech Limited,VIVIANA,1.00
Virtuoso Optoelectronics Limited,NSE,Virtuoso Optoelectronics Limited,VOEPL,1.00
Virtuoso Optoelectronics Limited,BSE_MAIN,Virtuoso Optoelectronics Limited,543597,1.00
B Right Realestate Limited,BSE_MAIN,B-RIGHT REALESTATE LIMITED,543543,0.94
B Right Realestate Limited,BSE_MAIN,B-Right Realestate Ltd,543543,0.94
