company_name,db_listing_date,db_category,match_source,nse_symbol,bse_script_code,matched_name,corroborated_by
Pramodini Medicare Ltd.,2026-08-19,SME,NSE_SME,PRAMODINI,,Pramodini Medicare Limited,listing_date
Optimystix Entertainment India Ltd.,2026-08-14,SME,NSE_SME,OPTIMYSTIX,,Optimystix Entertainment India Limited,listing_date
Anawil Wire & Engineering Ltd.,2026-08-10,SME,NSE_SME,ANAWIL,,Anawil Wire and Engineering Limited,listing_date
IC Electricals Company Limited,2026-07-10,SME,NSE_SME,ICELCO,,IC Electricals Company Limited,listing_date
Avience Biomedicals Lmited,2026-06-25,SME,NSE_SME,AVIENCE,,Avience Biomedicals Limited,listing_date
Amba Auto Sales and Services Limited,2026-05-05,SME,NSE_SME,AMBAAUTO,,Amba Auto Sales and Services Limited,listing_date
Armour Security (India) Limited,2026-01-22,SME,NSE_SME,ARMOUR,,Armour Security (India) Limited,listing_date
Dhara Rail Projects Limited,2025-12-31,SME,NSE_SME,DHARARAIL,,Dhara Rail Projects Limited,listing_date
Sundrex Oil Company Limited,2025-12-30,SME,NSE_SME,SOCL,,Sundrex Oil Company Limited,listing_date
Shyam Dhani Industries Limited,2025-12-30,SME,NSE_SME,SHYAMDHANI,,Shyam Dhani Industries Limited,listing_date
EPW India Limited,2025-12-30,SME,NSE_SME,EPWINDIA,,EPW India Limited,listing_date
Marc Technocrats Limited,2025-12-24,SME,NSE_SME,MARC,,Marc Technocrats Limited,listing_date
Ashwini Container Movers Limited,2025-12-19,SME,NSE_SME,ASHWINI,,Ashwini Container Movers Limited,listing_date
Exim Routes Limited,2025-12-19,SME,NSE_SME,EXIMROUTES,,Exim Routes Limited,listing_date
Flywings Simulator Training Centre Limited,2025-12-15,SME,NSE_SME,FWSTC,,Flywings Simulator Training Centre Limited,listing_date
Encompass Design (Scale Sauce) India Limited,2025-12-12,SME,NSE_SME,ENCOMPAS,,Encompass Design India Limited,listing_date
Shri Kanha Stainless Limited,2025-12-10,SME,NSE_SME,SHRIKANHA,,Shri Kanha Stainless Limited,listing_date
Neochem Bio Solutions Limited,2025-12-09,SME,NSE_SME,NEOCHEM,,Neochem Bio Solutions Limited,listing_date
Invicta Diagnostic Limited,2025-12-08,SME,NSE_SME,INVICTA,,Invicta Diagnostic Limited,listing_date
Speb Adhesives Limited,2025-12-08,SME,NSE_SME,SPEB,,Speb Adhesives Limited,listing_date
Curis Lifesciences Limited,2025-11-14,SME,NSE_SME,CURIS,,Curis Lifesciences Limited,listing_date
Finbud Financial Services Limited,2025-11-13,SME,NSE_SME,FINBUD,,Finbud Financial Services Limited,listing_date
Shreeji Global Fmcg Limited,2025-11-12,SME,NSE_SME,SHETHJI,,Shreeji Global FMCG Limited,listing_date
Jayesh Logistics Limited,2025-11-03,SME,NSE_SME,JAYESH,,Jayesh Logistics Limited,listing_date
Greenleaf Envirotech Limited,2025-10-09,SME,NSE_SME,GREENLEAF,,Greenleaf Envirotech Limited,listing_date
Suba Hotels Limited,2025-10-07,SME,NSE_SME,SUBAHOTELS,,Suba Hotels Limited,listing_date
Sheel Biotech Limited,2025-10-08,SME,NSE_SME,SHEEL,,Sheel Biotech Limited,listing_date
B.A.G. Convergence Limited,2025-10-08,SME,NSE_SME,BAGDIGITAL,,B.A.G. Convergence Limited,listing_date
Munish Forge Limited,2025-10-08,SME,NSE_SME,MUNISH,,Munish Forge Limited,listing_date
Vijaypd Ceutical Limited,2025-10-07,SME,NSE_SME,VIJAYPD,,Vijaypd Ceutical Limited,listing_date
Manas Polymers And Energies Limited,2025-10-06,SME,NSE_SME,MPEL,,Manas Polymers and Energies Limited,listing_date
Gurunanak Agriculture India Limited,2025-10-01,SME,NSE_SME,GURUNANAK,,Gurunanak Agriculture India Limited,listing_date
Ecoline Exim Limited,2025-09-30,SME,NSE_SME,ECOLINE,,Ecoline Exim Limited,listing_date
Matrix Geo Solutions Limited,2025-09-30,SME,NSE_SME,MGSL,,Matrix Geo Solutions Limited,listing_date
Prime Cable Industries Limited,2025-09-29,SME,NSE_SME,PRIMECAB,,Prime Cable Industries Limited,listing_date
Siddhi Cotspin Limited,2025-09-26,SME,NSE_SME,SIDDHICOTS,,Siddhi Cotspin Limited,listing_date
TechD Cybersecurity Limited,2025-09-22,SME,NSE_SME,TECHD,,TechD Cybersecurity Limited,listing_date
Galaxy Medicare Limited,2025-09-17,SME,NSE_SME,GML,,Galaxy Medicare Limited,listing_date
Taurian MPS Limited,2025-09-16,SME,NSE_SME,TAURIAN,,Taurian MPS Limited,listing_date
Vigor Plast India Limited,2025-09-12,SME,NSE_SME,VIGOR,,Vigor Plast India Limited,listing_date
Optivalue Tek Consulting Limited,2025-09-10,SME,NSE_SME,OPTIVALUE,,Optivalue Tek Consulting Limited,listing_date
Snehaa Organics Limited,2025-09-05,SME,NSE_SME,SNEHAA,,Snehaa Organics Limited,listing_date
Current Infraprojects Limited,2025-09-03,SME,NSE_SME,CURRENT,,Current Infraprojects Limited,listing_date
Sattva Engineering Construction Limited,2025-09-03,SME,NSE_SME,SATTVAENGG,,Sattva Engineering Construction Limited,listing_date
Classic Electrodes (India) Limited,2025-09-01,SME,NSE_SME,CLASSICEIL,,Classic Electrodes (India) Limited,listing_date
Anondita Medicare Limited,2025-09-01,SME,NSE_SME,ANONDITA,,Anondita Medicare Limited,listing_date
Shivashrit Foods Limited,2025-09-01,SME,NSE_SME,SHIVASHRIT,,Shivashrit Foods Limited,listing_date
Arc Insulation & Insulators Limited,2025-08-29,SME,NSE_SME,ARCIIL,,ARC Insulation & Insulators Limited,listing_date
Studio Lsd Limited,2025-08-25,SME,NSE_SME,STUDIOLSD,,Studio LSD Limited,listing_date
Mahendra Realtors & Infrastructure Limited,2025-08-20,SME,NSE_SME,MRIL,,Mahendra Realtors & Infrastructure Limited,listing_date
Medistep Healthcare Limited,2025-08-18,SME,NSE_SME,MEDISTEP,,Medistep Healthcare Limited,listing_date
Anb Metal Cast Limited,2025-08-18,SME,NSE_SME,AMCL,,ANB Metal Cast Limited,listing_date
Sawaliya Food Products Limited,2025-08-15,SME,NSE_SME,SAWALIYA,,Sawaliya Food Products Limited,listing_date
Connplex Cinemas Limited,2025-08-14,SME,NSE_SME,CONNPLEX,,Connplex Cinemas Limited,listing_date
Aaradhya Disposal Industries Limited,2025-08-11,SME,NSE_SME,AARADHYA,,Aaradhya Disposal Industries Limited,listing_date
Bhadora Industries Limited,2025-08-11,SME,NSE_SME,BHADORA,,Bhadora Industries Limited,listing_date
Parth Electricals & Engineering Limited,2025-08-11,SME,NSE_SME,PARTH,,Parth Electricals & Engineering Limited,listing_date
Jyoti Global Plast Limited,2025-08-11,SME,NSE_SME,JYOTIGLOBL,,Jyoti Global Plast Limited,listing_date
Flysbs Aviation Limited,2025-08-08,SME,NSE_SME,FLYSBS,,FlySBS Aviation Limited,listing_date
Renol Polychem Limited,2025-08-07,SME,NSE_SME,RNPL,,Renol Polychem Limited,listing_date
Cash Ur Drive Marketing Limited,2025-08-07,SME,NSE_SME,CUDML,,Cash Ur Drive Marketing Limited,listing_date
Kaytex Fabrics Limited,2025-08-05,SME,NSE_SME,KAYTEX,,Kaytex Fabrics Limited,listing_date
Sellowrap Industries Limited,2025-08-01,SME,NSE_SME,SELLOWRAP,,Sellowrap Industries Limited,listing_date
TSC India Limited,2025-07-30,SME,NSE_SME,TSC,,TSC India Limited,listing_date
Savy Infra & Logistics Limited,2025-07-28,SME,NSE_SME,SAVY,,Savy Infra and Logistics Limited,listing_date
Spunweb Nonwoven Limited,2025-07-21,SME,NSE_SME,SPUNWEB,,Spunweb Nonwoven Limited,listing_date
Smarten Power Systems Limited,2025-07-14,SME,NSE_SME,SMARTEN,,Smarten Power Systems Limited,listing_date
Happy Square Outsourcing Services Limited,2025-07-10,SME,NSE_SME,WHITEFORCE,,Happy Square Outsourcing Services Limited,listing_date
Silky Overseas Limited,2025-07-07,SME,NSE_SME,SILKY,,Silky Overseas Limited,listing_date
Pushpa Jewellers Limited,2025-07-07,SME,NSE_SME,PUSHPA,,Pushpa Jewellers Limited,listing_date
Cedaar Textile Limited,2025-07-07,SME,NSE_SME,CEDAAR,,Cedaar Textile Limited,listing_date
Pro Fx Tech Limited,2025-07-03,SME,NSE_SME,PROFX,,Pro FX Tech Limited,listing_date
Moving Media Entertainment Limited,2025-07-03,SME,NSE_SME,MMEL,,Moving Media Entertainment Limited,listing_date
Suntech Infra Solutions Limited,2025-07-02,SME,NSE_SME,SUNTECH,,Suntech Infra Solutions Limited,listing_date
Rama Telecom Limited,2025-07-02,SME,NSE_SME,RTL,,Rama Telecom Limited,listing_date
Mayasheel Ventures Limited,2025-06-27,SME,NSE_SME,MAYASHEEL,,Mayasheel Ventures Limited,listing_date
Safe Enterprises Retail Fixtures Limited,2025-06-27,SME,NSE_SME,SAFEENTP,,Safe Enterprises Retail Fixtures Limited,listing_date
