company_name,db_listing_date,likely_reason
Cube Highways Trust InvIT,2026-07-31,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Bagmane Prime Office REIT,2026-05-14,"REIT/InvIT/Trust — likely not in standard equity list, check NSE REIT/InvIT segment separately"
Fascinate Textiles Ltd.,,"not listed yet (blank listing_date) — expected, not a bug"
Schloss Bangalore Limited,2025-06-02,already listed but no name match found — check suffix/spelling
Quality Power Electronics Limited,2025-02-24,already listed but no name match found — check suffix/spelling
Denta Water & Infrastructure Limited,2025-01-29,already listed but no name match found — check suffix/spelling
Standard Glass Lining Technology Limited,2025-01-13,already listed but no name match found — check suffix/spelling
International Gemmological Institute (India) Limited,2024-12-20,already listed but no name match found — check suffix/spelling
Interarch Building Products Limited,2024-08-26,already listed but no name match found — check suffix/spelling
E-To-E Transportation Infrastructure Limited,2026-01-15,already listed but no name match found — check suffix/spelling
Bai Kakaji Polymers Limited,2025-12-31,already listed but no name match found — check suffix/spelling
Phytochem Remedies (India) Limited,2025-12-26,already listed but no name match found — check suffix/spelling
Zelio E-Mobility Limited,2025-10-15,already listed but no name match found — check suffix/spelling
LGT Business Connextions Limited,2025-08-15,already listed but no name match found — check suffix/spelling
Shri Hare Krishna Sponge Iron Limited,2025-07-15,already listed but no name match found — check suffix/spelling
Nikita Papers Limited,2025-06-03,already listed but no name match found — check suffix/spelling
Unified Data - Tech Solutions Limited,2025-05-29,already listed but no name match found — check suffix/spelling
Sat Kartar Shopping Limited,2025-01-17,already listed but no name match found — check suffix/spelling
Fabtech Technologies Cleanrooms Limited,2025-01-15,already listed but no name match found — check suffix/spelling
Sahasra Electronics Solutions Limited,2024-10-15,already listed but no name match found — check suffix/spelling
Mach Conferences and Events Limited,2024-09-15,already listed but no name match found — check suffix/spelling
Ambey Laboratories Limited,2024-07-15,already listed but no name match found — check suffix/spelling
Ztech India Limited,2024-06-15,already listed but no name match found — check suffix/spelling
Energy-Mission Machineries (India) Limited,2024-05-15,already listed but no name match found — check suffix/spelling
Sai Swami Metals & Alloys Limited,2024-05-15,already listed but no name match found — check suffix/spelling
Aluwind Architectural Limited,2024-04-15,already listed but no name match found — check suffix/spelling
Naman In-Store (India) Limited,2024-04-15,already listed but no name match found — check suffix/spelling
Kalahridhaan Trendz Limited,2024-02-15,already listed but no name match found — check suffix/spelling
ROX Hi-Tech Limited,2023-11-15,already listed but no name match found — check suffix/spelling
Arvind and Company Shipping Agencies Limited,2023-10-15,already listed but no name match found — check suffix/spelling
Canary Automations Limited,2023-10-15,already listed but no name match found — check suffix/spelling
Kundan Edifice Limited,2023-09-15,already listed but no name match found — check suffix/spelling
Unihealth Consultancy Limited,2023-09-15,already listed but no name match found — check suffix/spelling
Sahaj Fashions Limited,2023-09-15,already listed but no name match found — check suffix/spelling
Prospect Commodities Limited,2023-03-15,already listed but no name match found — check suffix/spelling
Eastern Logica Infoway Limited,2023-01-15,already listed but no name match found — check suffix/spelling
Vital Chemtech Limited,2022-11-15,already listed but no name match found — check suffix/spelling
Frog Cellsat Limited,2022-10-15,already listed but no name match found — check suffix/spelling
QMS Medical Allied Services Limited,2022-10-15,already listed but no name match found — check suffix/spelling
Insolation Energy Limited,2022-10-15,already listed but no name match found — check suffix/spelling
Annapurna Swadisht Limited,2022-09-15,already listed but no name match found — check suffix/spelling
Varanium Cloud Limited,2022-09-15,already listed but no name match found — check suffix/spelling
Viviana Power Tech Limited,2022-09-15,already listed but no name match found — check suffix/spelling
Virtuoso Optoelectronics Limited,2022-09-15,already listed but no name match found — check suffix/spelling
B Right Realestate Limited,2022-07-15,already listed but no name match found — check suffix/spelling
Mangalam Worldwide Limited,2022-07-15,already listed but no name match found — check suffix/spelling
Le Merite Exports Limited,2022-05-15,already listed but no name match found — check suffix/spelling
